course_id,course_name,faculty_raw
FIS,nan,Prof. Prasenjit Chakrabarti
IM,nan,Prof. Anand
BV,nan,Prof. Anand
DRV,nan,Prof. Kamran Kuddus
DMPA,nan,Prof. Pradip Kumar Bala
DWDV,nan,Prof. Anupriya Khan
DT,nan,Prof. Arindam Mukherjee
IMKT,nan,Prof. Dipanjan Kumar Dey
PBM,nan,Prof. Aditya Shankar Mishra
SDM,nan,Prof. Shibashish Chakraborty
CB,nan,Prof. M. Jyotsna Soni
CRM,nan,Prof. Ankur Jha
DSMM,nan,Prof. Subhro Sarkar
IMC,nan,Prof. T. Sai Vijay
PRI,nan,Prof. Shweta Jha
REE,nan,Prof. Rakhi Singh
EMPP,nan,Prof. Rajasekhar David
NCM,nan,Prof. Manish Kumar
GMRM,nan,Prof. Piyali Ghosh
ODC,nan,Prof. Viraj Varma
SCM,nan,Prof. Pritee Ray
PM,nan,Prof. Vijaya Dixit
BMS,nan,Prof. Santosh Kumar Prusty
SMTI,nan,Prof. Shiwangi Singh
CCS,nan,Prof. Rohit Kumar
DTI,nan,Prof. Rohit Kumar (Premid) + Prof. Rojers Puthur Josrph (Postmid)
CS,nan,Prof. Swarup Kumar Dutta
