course_id,student_id
FIS,BA008-24
FIS,BA022-24
FIS,BA026-24
FIS,BA030-24
FIS,BA039-24
FIS,IPM021-21
FIS,IPM043-21
FIS,IPM048-21
FIS,IPM060-21
FIS,IPM071-21
FIS,IPM073-21
FIS,IPM076-21
FIS,IPM079-21
FIS,IPM093-21
FIS,IPM105-21
FIS,IPM112-21
FIS,IPM122-21
FIS,M002-24
FIS,M013-24
FIS,M020-24
FIS,M024-24
FIS,M029-24
FIS,M030-24
FIS,M037-24
FIS,M040-24
FIS,M056-24
FIS,M064-24
FIS,M065-24
FIS,M079-24
FIS,M083-24
FIS,M085-24
FIS,M090-24
FIS,M104-24
FIS,M106-24
FIS,M108-24
FIS,M113-24
FIS,M115-24
FIS,M135-24
FIS,M152-24
FIS,M171-23
FIS,M172-24
FIS,M173-24
FIS,M175-24
FIS,M185-24
FIS,M199-24
FIS,M218-24
FIS,M222-24
FIS,M225-24
FIS,M226-24
FIS,M227-24
FIS,M235-24
FIS,M237-24
FIS,M239-24
FIS,M245-24
FIS,M250-24
FIS,M268-24
FIS,BA003-24
FIS,BA018-24
FIS,BA024-24
FIS,BA028-24
FIS,BA031-24
FIS,BA040-24
FIS,BA043-24
FIS,IPM018-21
FIS,IPM029-21
FIS,IPM033-21
FIS,IPM054-21
FIS,IPM072-21
FIS,IPM077-21
FIS,IPM085-21
FIS,IPM087-21
FIS,IPM114-21
FIS,IPM115-21
FIS,M007-24
FIS,M017-24
FIS,M025-24
FIS,M032-24
FIS,M036-24
FIS,M039-24
FIS,M047-24
FIS,M052-24
FIS,M053-24
FIS,M060-24
FIS,M072-24
FIS,M074-24
FIS,M077-24
FIS,M102-24
FIS,M120-24
FIS,M131-24
FIS,M138-24
FIS,M140-24
FIS,M161-24
FIS,M162-24
FIS,M164-24
FIS,M174-24
FIS,M188-24
FIS,M189-24
FIS,M194-24
FIS,M195-24
FIS,M201-24
FIS,M202-24
FIS,M203-24
FIS,M211-24
FIS,M223-24
FIS,M224-24
FIS,M236-24
FIS,M241-24
FIS,M243-24
FIS,M244-24
FIS,M254-24
FIS,M257-24
FIS,M259-24
FIS,M266-24
FIS,M267-24
IM,BA008-24
IM,BA025-24
IM,BA036-24
IM,BA038-24
IM,BA052-24
