section_id,course_id,sessions
BMS_A,BMS,18
BV_A,BV,18
CB_A,CB,18
CB_B,CB,18
CCS_A,CCS,18
CCS_B,CCS,18
CRM_A,CRM,18
CS_A,CS,18
CS_B,CS,18
DMPA_A,DMPA,18
DRV_A,DRV,18
DSMM_A,DSMM,18
DT_A,DT,18
DTI_A,DTI,18
DTI_B,DTI,18
DWDV_A,DWDV,18
FIS_A,FIS,18
FIS_B,FIS,18
IM_A,IM,18
IMC_A,IMC,18
IMKT_A,IMKT,18
IMKT_B,IMKT,18
PBM_A,PBM,18
PRI_A,PRI,18
SDM_A,SDM,18
SMTI_A,SMTI,18
DSMM_B,DSMM,19
PBM_B,PBM,19
CRM_B,CRM,20
DMPA_B,DMPA,20
DRV_B,DRV,20
DT_B,DT,20
EMPP_A,EMPP,20
EMPP_B,EMPP,20
GMRM_A,GMRM,20
IM_B,IM,20
IMC_B,IMC,20
NCM_A,NCM,20
ODC_A,ODC,20
ODC_B,ODC,20
PM_A,PM,20
PM_B,PM,20
PRI_B,PRI,20
REE_A,REE,20
SCM_A,SCM,20
SCM_B,SCM,20
SDM_B,SDM,20
