section_id,course_id,sessions
DWDV_A,DWDV,2
BV_A,BV,8
PRI_A,PRI,13
BMS_A,BMS,18
SMTI_A,SMTI,19
CB_A,CB,20
CB_B,CB,20
CCS_A,CCS,20
CCS_B,CCS,20
CRM_A,CRM,20
CRM_B,CRM,20
CS_A,CS,20
CS_B,CS,20
DMPA_A,DMPA,20
DMPA_B,DMPA,20
DRV_A,DRV,20
DRV_B,DRV,20
DSMM_A,DSMM,20
DSMM_B,DSMM,20
DT_A,DT,20
DT_B,DT,20
DTI_A,DTI,20
DTI_B,DTI,20
EMPP_A,EMPP,20
EMPP_B,EMPP,20
FIS_A,FIS,20
FIS_B,FIS,20
GMRM_A,GMRM,20
IM_A,IM,20
IM_B,IM,20
IMC_A,IMC,20
IMC_B,IMC,20
IMKT_A,IMKT,20
IMKT_B,IMKT,20
NCM_A,NCM,20
ODC_A,ODC,20
ODC_B,ODC,20
PBM_A,PBM,20
PBM_B,PBM,20
PM_A,PM,20
PM_B,PM,20
PRI_B,PRI,20
REE_A,REE,20
SCM_A,SCM,20
SCM_B,SCM,20
SDM_A,SDM,20
SDM_B,SDM,20
