slot_id,week,day,slot_code,start,end,room_capacity,is_sunday
W1_Mon_S1,1,Mon,S1,09:00,10:30,10,0
W1_Mon_S2,1,Mon,S2,10:45,12:15,10,0
W1_Mon_S3,1,Mon,S3,12:30,14:00,10,0
W1_Mon_S4,1,Mon,S4,14:45,16:15,10,0
W1_Mon_S5,1,Mon,S5,16:30,18:00,10,0
W1_Mon_S6,1,Mon,S6,18:15,19:45,10,0
W1_Tue_S1,1,Tue,S1,09:00,10:30,10,0
W1_Tue_S2,1,Tue,S2,10:45,12:15,10,0
W1_Tue_S3,1,Tue,S3,12:30,14:00,10,0
W1_Tue_S4,1,Tue,S4,14:45,16:15,10,0
W1_Tue_S5,1,Tue,S5,16:30,18:00,10,0
W1_Tue_S6,1,Tue,S6,18:15,19:45,10,0
W1_Wed_S1,1,Wed,S1,09:00,10:30,10,0
W1_Wed_S2,1,Wed,S2,10:45,12:15,10,0
W1_Wed_S3,1,Wed,S3,12:30,14:00,10,0
W1_Wed_S4,1,Wed,S4,14:45,16:15,10,0
W1_Wed_S5,1,Wed,S5,16:30,18:00,10,0
W1_Wed_S6,1,Wed,S6,18:15,19:45,10,0
W1_Thu_S1,1,Thu,S1,09:00,10:30,10,0
W1_Thu_S2,1,Thu,S2,10:45,12:15,10,0
W1_Thu_S3,1,Thu,S3,12:30,14:00,10,0
W1_Thu_S4,1,Thu,S4,14:45,16:15,10,0
W1_Thu_S5,1,Thu,S5,16:30,18:00,10,0
W1_Thu_S6,1,Thu,S6,18:15,19:45,10,0
W1_Fri_S1,1,Fri,S1,09:00,10:30,10,0
W1_Fri_S2,1,Fri,S2,10:45,12:15,10,0
W1_Fri_S3,1,Fri,S3,12:30,14:00,10,0
W1_Fri_S4,1,Fri,S4,14:45,16:15,10,0
W1_Fri_S5,1,Fri,S5,16:30,18:00,10,0
W1_Fri_S6,1,Fri,S6,18:15,19:45,10,0
W1_Sat_S1,1,Sat,S1,09:00,10:30,10,0
W1_Sat_S2,1,Sat,S2,10:45,12:15,10,0
W1_Sat_S3,1,Sat,S3,12:30,14:00,10,0
W1_Sat_S4,1,Sat,S4,14:45,16:15,10,0
W1_Sat_S5,1,Sat,S5,16:30,18:00,10,0
W1_Sat_S6,1,Sat,S6,18:15,19:45,10,0
W1_Sun_S1,1,Sun,S1,09:00,10:30,10,1
W1_Sun_S2,1,Sun,S2,10:45,12:15,10,1
W1_Sun_S3,1,Sun,S3,12:30,14:00,10,1
W1_Sun_S4,1,Sun,S4,15:30,17:00,10,1
W2_Mon_S1,2,Mon,S1,09:00,10:30,10,0
W2_Mon_S2,2,Mon,S2,10:45,12:15,10,0
W2_Mon_S3,2,Mon,S3,12:30,14:00,10,0
W2_Mon_S4,2,Mon,S4,14:45,16:15,10,0
W2_Mon_S5,2,Mon,S5,16:30,18:00,10,0
W2_Mon_S6,2,Mon,S6,18:15,19:45,10,0
W2_Tue_S1,2,Tue,S1,09:00,10:30,10,0
W2_Tue_S2,2,Tue,S2,10:45,12:15,10,0
W2_Tue_S3,2,Tue,S3,12:30,14:00,10,0
W2_Tue_S4,2,Tue,S4,14:45,16:15,10,0
W2_Tue_S5,2,Tue,S5,16:30,18:00,10,0
W2_Tue_S6,2,Tue,S6,18:15,19:45,10,0
W2_Wed_S1,2,Wed,S1,09:00,10:30,10,0
W2_Wed_S2,2,Wed,S2,10:45,12:15,10,0
W2_Wed_S3,2,Wed,S3,12:30,14:00,10,0
W2_Wed_S4,2,Wed,S4,14:45,16:15,10,0
W2_Wed_S5,2,Wed,S5,16:30,18:00,10,0
W2_Wed_S6,2,Wed,S6,18:15,19:45,10,0
W2_Thu_S1,2,Thu,S1,09:00,10:30,10,0
W2_Thu_S2,2,Thu,S2,10:45,12:15,10,0
W2_Thu_S3,2,Thu,S3,12:30,14:00,10,0
W2_Thu_S4,2,Thu,S4,14:45,16:15,10,0
W2_Thu_S5,2,Thu,S5,16:30,18:00,10,0
W2_Thu_S6,2,Thu,S6,18:15,19:45,10,0
W2_Fri_S1,2,Fri,S1,09:00,10:30,10,0
W2_Fri_S2,2,Fri,S2,10:45,12:15,10,0
W2_Fri_S3,2,Fri,S3,12:30,14:00,10,0
W2_Fri_S4,2,Fri,S4,14:45,16:15,10,0
W2_Fri_S5,2,Fri,S5,16:30,18:00,10,0
W2_Fri_S6,2,Fri,S6,18:15,19:45,10,0
W2_Sat_S1,2,Sat,S1,09:00,10:30,10,0
W2_Sat_S2,2,Sat,S2,10:45,12:15,10,0
W2_Sat_S3,2,Sat,S3,12:30,14:00,10,0
W2_Sat_S4,2,Sat,S4,14:45,16:15,10,0
W2_Sat_S5,2,Sat,S5,16:30,18:00,10,0
W2_Sat_S6,2,Sat,S6,18:15,19:45,10,0
W2_Sun_S1,2,Sun,S1,09:00,10:30,10,1
W2_Sun_S2,2,Sun,S2,10:45,12:15,10,1
W2_Sun_S3,2,Sun,S3,12:30,14:00,10,1
W2_Sun_S4,2,Sun,S4,15:30,17:00,10,1
W3_Mon_S1,3,Mon,S1,09:00,10:30,10,0
W3_Mon_S2,3,Mon,S2,10:45,12:15,10,0
W3_Mon_S3,3,Mon,S3,12:30,14:00,10,0
W3_Mon_S4,3,Mon,S4,14:45,16:15,10,0
W3_Mon_S5,3,Mon,S5,16:30,18:00,10,0
W3_Mon_S6,3,Mon,S6,18:15,19:45,10,0
W3_Tue_S1,3,Tue,S1,09:00,10:30,10,0
W3_Tue_S2,3,Tue,S2,10:45,12:15,10,0
W3_Tue_S3,3,Tue,S3,12:30,14:00,10,0
W3_Tue_S4,3,Tue,S4,14:45,16:15,10,0
W3_Tue_S5,3,Tue,S5,16:30,18:00,10,0
W3_Tue_S6,3,Tue,S6,18:15,19:45,10,0
W3_Wed_S1,3,Wed,S1,09:00,10:30,10,0
W3_Wed_S2,3,Wed,S2,10:45,12:15,10,0
W3_Wed_S3,3,Wed,S3,12:30,14:00,10,0
W3_Wed_S4,3,Wed,S4,14:45,16:15,10,0
W3_Wed_S5,3,Wed,S5,16:30,18:00,10,0
W3_Wed_S6,3,Wed,S6,18:15,19:45,10,0
W3_Thu_S1,3,Thu,S1,09:00,10:30,10,0
W3_Thu_S2,3,Thu,S2,10:45,12:15,10,0
W3_Thu_S3,3,Thu,S3,12:30,14:00,10,0
W3_Thu_S4,3,Thu,S4,14:45,16:15,10,0
W3_Thu_S5,3,Thu,S5,16:30,18:00,10,0
W3_Thu_S6,3,Thu,S6,18:15,19:45,10,0
W3_Fri_S1,3,Fri,S1,09:00,10:30,10,0
W3_Fri_S2,3,Fri,S2,10:45,12:15,10,0
W3_Fri_S3,3,Fri,S3,12:30,14:00,10,0
W3_Fri_S4,3,Fri,S4,14:45,16:15,10,0
W3_Fri_S5,3,Fri,S5,16:30,18:00,10,0
W3_Fri_S6,3,Fri,S6,18:15,19:45,10,0
W3_Sat_S1,3,Sat,S1,09:00,10:30,10,0
W3_Sat_S2,3,Sat,S2,10:45,12:15,10,0
W3_Sat_S3,3,Sat,S3,12:30,14:00,10,0
W3_Sat_S4,3,Sat,S4,14:45,16:15,10,0
W3_Sat_S5,3,Sat,S5,16:30,18:00,10,0
W3_Sat_S6,3,Sat,S6,18:15,19:45,10,0
W3_Sun_S1,3,Sun,S1,09:00,10:30,10,1
W3_Sun_S2,3,Sun,S2,10:45,12:15,10,1
W3_Sun_S3,3,Sun,S3,12:30,14:00,10,1
W3_Sun_S4,3,Sun,S4,15:30,17:00,10,1
W4_Mon_S1,4,Mon,S1,09:00,10:30,10,0
W4_Mon_S2,4,Mon,S2,10:45,12:15,10,0
W4_Mon_S3,4,Mon,S3,12:30,14:00,10,0
