slot_id,week,section_id,course_id,faculty,day,start,end,room_number
W1_Fri_S1,1,DSMM_B,DSMM,Prof. Subhro Sarkar,Fri,09:00,10:30,Room_1
W1_Fri_S1,1,IMC_A,IMC,Prof. T. Sai Vijay,Fri,09:00,10:30,Room_2
W1_Fri_S2,1,NCM_A,NCM,Prof. Manish Kumar,Fri,10:45,12:15,Room_1
W1_Fri_S2,1,PBM_B,PBM,Prof. Aditya Shankar Mishra,Fri,10:45,12:15,Room_2
W1_Fri_S2,1,SCM_A,SCM,Prof. Pritee Ray,Fri,10:45,12:15,Room_3
W1_Fri_S3,1,CS_A,CS,Prof. Swarup Kumar Dutta,Fri,12:30,14:00,Room_1
W1_Fri_S3,1,EMPP_B,EMPP,Prof. Rajasekhar David,Fri,12:30,14:00,Room_2
W1_Fri_S3,1,IM_B,IM,Prof. Anand,Fri,12:30,14:00,Room_3
W1_Fri_S4,1,IMC_A,IMC,Prof. T. Sai Vijay,Fri,14:45,16:15,Room_1
W1_Fri_S4,1,SDM_B,SDM,Prof. Shibashish Chakraborty,Fri,14:45,16:15,Room_2
W1_Fri_S5,1,DT_A,DT,Prof. Arindam Mukherjee,Fri,16:30,18:00,Room_1
W1_Fri_S5,1,PRI_B,PRI,Prof. Shweta Jha,Fri,16:30,18:00,Room_2
W1_Fri_S6,1,IMKT_B,IMKT,Prof. Dipanjan Kumar Dey,Fri,18:15,19:45,Room_1
W1_Fri_S6,1,PM_A,PM,Prof. Vijaya Dixit,Fri,18:15,19:45,Room_2
W1_Mon_S1,1,CRM_A,CRM,Prof. Ankur Jha,Mon,09:00,10:30,Room_1
W1_Mon_S1,1,DSMM_B,DSMM,Prof. Subhro Sarkar,Mon,09:00,10:30,Room_2
W1_Mon_S2,1,DSMM_B,DSMM,Prof. Subhro Sarkar,Mon,10:45,12:15,Room_1
W1_Mon_S2,1,DT_A,DT,Prof. Arindam Mukherjee,Mon,10:45,12:15,Room_2
W1_Mon_S3,1,CB_A,CB,Prof. M. Jyotsna Soni,Mon,12:30,14:00,Room_1
W1_Mon_S3,1,EMPP_B,EMPP,Prof. Rajasekhar David,Mon,12:30,14:00,Room_2
W1_Mon_S3,1,IM_B,IM,Prof. Anand,Mon,12:30,14:00,Room_3
W1_Mon_S4,1,CB_A,CB,Prof. M. Jyotsna Soni,Mon,14:45,16:15,Room_1
W1_Mon_S4,1,PRI_B,PRI,Prof. Shweta Jha,Mon,14:45,16:15,Room_2
W1_Mon_S5,1,BV_A,BV,Prof. Anand,Mon,16:30,18:00,Room_1
W1_Mon_S5,1,IMC_B,IMC,Prof. T. Sai Vijay,Mon,16:30,18:00,Room_2
W1_Mon_S6,1,DMPA_B,DMPA,Prof. Pradip Kumar Bala,Mon,18:15,19:45,Room_1
W1_Mon_S6,1,PM_A,PM,Prof. Vijaya Dixit,Mon,18:15,19:45,Room_2
W1_Sat_S1,1,DTI_B,DTI,Prof. Rohit Kumar,Sat,09:00,10:30,Room_1
W1_Sat_S1,1,PRI_A,PRI,Prof. Shweta Jha,Sat,09:00,10:30,Room_2
W1_Sat_S1,1,REE_A,REE,Prof. Rakhi Singh,Sat,09:00,10:30,Room_3
W1_Sat_S2,1,DMPA_B,DMPA,Prof. Pradip Kumar Bala,Sat,10:45,12:15,Room_1
W1_Sat_S2,1,DRV_A,DRV,Prof. Kamran Kuddus,Sat,10:45,12:15,Room_2
W1_Sat_S3,1,BV_A,BV,Prof. Anand,Sat,12:30,14:00,Room_1
W1_Sat_S3,1,IMC_B,IMC,Prof. T. Sai Vijay,Sat,12:30,14:00,Room_2
W1_Sat_S4,1,IM_A,IM,Prof. Anand,Sat,14:45,16:15,Room_1
